uf_numero,diag.ym,new.cases,cure,tx.die,tx.abn,fail,mdr.sus,return.ab
11,1/1/15,49,32,0,10,0,1,5
11,2/1/15,46,31,0,6,0,1,3
11,3/1/15,57,37,1,11,0,0,7
11,4/1/15,42,30,1,4,0,0,0
11,5/1/15,56,41,3,7,1,0,5
11,6/1/15,42,30,4,5,0,0,8
11,7/1/15,52,42,3,5,0,0,3
11,8/1/15,48,31,4,7,1,0,13
11,9/1/15,32,27,0,2,0,0,6
11,10/1/15,33,23,1,5,0,0,7
11,11/1/15,59,43,2,9,0,0,9
11,12/1/15,47,38,1,4,0,0,5
11,1/1/16,52,42,2,6,0,0,7
11,2/1/16,48,37,0,7,0,0,6
11,3/1/16,65,51,3,8,0,1,9
11,4/1/16,62,45,2,11,0,1,7
11,5/1/16,60,41,2,16,0,0,7
11,6/1/16,73,55,2,14,0,0,6
11,7/1/16,42,35,1,4,0,0,7
11,8/1/16,54,40,3,9,0,0,11
11,9/1/16,47,37,2,6,0,0,7
11,10/1/16,48,34,3,5,0,1,7
11,11/1/16,49,36,1,9,0,1,5
11,12/1/16,49,36,1,9,0,0,9
11,1/1/17,50,37,2,5,0,0,9
11,2/1/17,52,36,2,4,0,0,5
11,3/1/17,69,45,3,11,0,0,11
11,4/1/17,58,38,2,9,0,0,4
11,5/1/17,46,31,0,5,0,0,7
11,6/1/17,56,39,3,9,0,1,8
11,7/1/17,45,35,1,6,0,0,6
11,8/1/17,65,54,0,8,0,0,13
11,9/1/17,61,42,3,2,0,0,1
11,10/1/17,55,38,0,11,0,0,8
11,11/1/17,55,37,2,6,0,1,3
11,12/1/17,45,26,1,8,0,2,7
11,1/1/18,49,43,2,3,0,0,7
11,2/1/18,60,42,1,14,0,2,5
11,3/1/18,43,29,1,9,0,0,2
11,4/1/18,61,47,1,12,0,0,9
11,5/1/18,50,41,1,4,0,1,5
11,6/1/18,60,46,6,6,0,0,7
11,7/1/18,44,30,1,9,0,0,5
11,8/1/18,51,37,0,10,0,1,5
11,9/1/18,40,26,1,12,0,0,6
11,10/1/18,38,27,1,9,0,0,4
11,11/1/18,50,36,1,12,0,0,7
11,12/1/18,46,36,1,7,0,1,3
11,1/1/19,42,32,1,6,0,0,9
11,2/1/19,66,50,2,12,0,2,6
11,3/1/19,54,41,3,9,0,0,3
11,4/1/19,65,46,1,14,0,1,7
11,5/1/19,65,50,1,11,0,1,7
11,6/1/19,51,33,1,15,0,0,3
11,7/1/19,64,44,1,15,0,0,6
11,8/1/19,56,42,1,13,0,0,6
11,9/1/19,60,43,3,13,0,0,9
11,10/1/19,39,26,2,9,0,1,9
11,11/1/19,45,29,2,8,0,0,2
11,12/1/19,47,38,0,8,0,0,7
11,1/1/20,64,44,0,16,0,2,8
11,2/1/20,39,24,2,11,0,0,11
11,3/1/20,56,47,0,5,0,2,8
11,4/1/20,34,25,0,7,0,0,5
11,5/1/20,37,27,1,7,0,0,3
11,6/1/20,34,21,2,9,0,2,1
11,7/1/20,38,29,2,5,0,1,8
11,8/1/20,40,19,3,15,0,1,5
