uf_numero,death.ym,sim.TBdie
11,1/1/15,3
11,2/1/15,4
11,3/1/15,3
11,4/1/15,1
11,5/1/15,6
11,6/1/15,2
11,7/1/15,5
11,8/1/15,4
11,9/1/15,6
11,10/1/15,4
11,11/1/15,3
11,12/1/15,3
11,1/1/16,5
11,2/1/16,5
11,3/1/16,3
11,4/1/16,3
11,5/1/16,4
11,6/1/16,4
11,7/1/16,8
11,8/1/16,6
11,9/1/16,3
11,10/1/16,4
11,11/1/16,4
11,12/1/16,2
11,1/1/17,8
11,2/1/17,3
11,3/1/17,3
11,4/1/17,7
11,5/1/17,2
11,6/1/17,3
11,7/1/17,2
11,8/1/17,1
11,9/1/17,6
11,10/1/17,3
11,11/1/17,3
11,12/1/17,5
11,1/1/18,5
11,2/1/18,3
11,3/1/18,3
11,4/1/18,2
11,5/1/18,3
11,6/1/18,5
11,7/1/18,3
11,8/1/18,1
11,9/1/18,2
11,10/1/18,2
11,11/1/18,3
11,12/1/18,5
11,1/1/19,3
11,2/1/19,1
11,3/1/19,3
11,4/1/19,5
11,5/1/19,3
11,6/1/19,2
11,7/1/19,2
11,8/1/19,2
11,9/1/19,4
11,10/1/19,1
11,11/1/19,2
11,12/1/19,4
11,1/1/20,3
11,2/1/20,7
11,3/1/20,3
11,4/1/20,1
11,5/1/20,3
11,6/1/20,2
11,7/1/20,7
11,8/1/20,4
11,9/1/20,2
11,10/1/20,3
11,11/1/20,7
11,12/1/20,7
11,1/1/21,8
11,2/1/21,6
11,3/1/21,5
11,4/1/21,2
11,5/1/21,3
11,6/1/21,3
11,7/1/21,8
11,8/1/21,6
11,9/1/21,6
11,10/1/21,2
11,11/1/21,6
11,12/1/21,6
12,1/1/15,2
12,2/1/15,1
12,3/1/15,2
12,4/1/15,0
12,5/1/15,6
12,6/1/15,1
12,7/1/15,3
12,8/1/15,2
12,9/1/15,2
12,10/1/15,1
12,11/1/15,1
12,12/1/15,3
12,1/1/16,1
12,2/1/16,3
12,3/1/16,3
12,4/1/16,0
12,5/1/16,2
12,6/1/16,3
12,7/1/16,3
12,8/1/16,3
12,9/1/16,1
12,10/1/16,4
12,11/1/16,4
12,12/1/16,2
12,1/1/17,1
12,2/1/17,6
12,3/1/17,1
12,4/1/17,1
12,5/1/17,1
12,6/1/17,0
12,7/1/17,1
12,8/1/17,2
12,9/1/17,1
12,10/1/17,0
12,11/1/17,1
12,12/1/17,2
12,1/1/18,2
12,2/1/18,3
12,3/1/18,6
12,4/1/18,4
12,5/1/18,4
12,6/1/18,3
12,7/1/18,0
12,8/1/18,1
12,9/1/18,6
12,10/1/18,3
12,11/1/18,3
12,12/1/18,2
12,1/1/19,1
12,2/1/19,3
12,3/1/19,2
12,4/1/19,5
12,5/1/19,4
12,6/1/19,2
12,7/1/19,7
12,8/1/19,4
12,9/1/19,2
12,10/1/19,1
12,11/1/19,1
12,12/1/19,8
12,1/1/20,2
12,2/1/20,4
12,3/1/20,3
12,4/1/20,6
12,5/1/20,6
12,6/1/20,3
12,7/1/20,3
12,8/1/20,4
12,9/1/20,4
12,10/1/20,2
12,11/1/20,5
12,12/1/20,4
12,1/1/21,3
12,2/1/21,3
12,3/1/21,2
12,4/1/21,2
12,5/1/21,3
12,6/1/21,4
12,7/1/21,2
12,8/1/21,2
12,9/1/21,5
12,10/1/21,3
12,11/1/21,3
12,12/1/21,1
13,1/1/15,25
13,2/1/15,17
13,3/1/15,12
13,4/1/15,21
13,5/1/15,25
13,6/1/15,20
13,7/1/15,20
13,8/1/15,23
13,9/1/15,18
13,10/1/15,16
13,11/1/15,20
13,12/1/15,13
13,1/1/16,17
13,2/1/16,20
13,3/1/16,25
13,4/1/16,31
13,5/1/16,29
13,6/1/16,22
13,7/1/16,18
13,8/1/16,32
13,9/1/16,17
13,10/1/16,20
13,11/1/16,28
13,12/1/16,19
13,1/1/17,17
13,2/1/17,24
13,3/1/17,17
13,4/1/17,25
13,5/1/17,25
13,6/1/17,24
13,7/1/17,36
13,8/1/17,25
13,9/1/17,19
13,10/1/17,39
13,11/1/17,26
13,12/1/17,29
13,1/1/18,31
13,2/1/18,17
13,3/1/18,19
13,4/1/18,21
13,5/1/18,33
13,6/1/18,28
13,7/1/18,22
13,8/1/18,21
13,9/1/18,23
13,10/1/18,27
13,11/1/18,25
13,12/1/18,25
13,1/1/19,40
13,2/1/19,24
13,3/1/19,24
13,4/1/19,29
13,5/1/19,32
13,6/1/19,19
13,7/1/19,18
13,8/1/19,22
13,9/1/19,24
13,10/1/19,30
13,11/1/19,15
13,12/1/19,24
13,1/1/20,30
13,2/1/20,24
13,3/1/20,29
13,4/1/20,36
13,5/1/20,24
13,6/1/20,23
13,7/1/20,29
13,8/1/20,24
13,9/1/20,22
13,10/1/20,24
13,11/1/20,29
13,12/1/20,23
13,1/1/21,25
13,2/1/21,25
13,3/1/21,26
13,4/1/21,34
13,5/1/21,39
13,6/1/21,22
13,7/1/21,26
13,8/1/21,27
13,9/1/21,25
13,10/1/21,27
13,11/1/21,16
13,12/1/21,39
14,1/1/15,1
14,2/1/15,1
14,3/1/15,0
14,4/1/15,0
14,5/1/15,1
14,6/1/15,1
14,7/1/15,0
14,8/1/15,0
14,9/1/15,1
14,10/1/15,0
14,11/1/15,1
14,12/1/15,0
14,1/1/16,1
14,2/1/16,0
14,3/1/16,0
14,4/1/16,0
14,5/1/16,1
14,6/1/16,2
14,7/1/16,2
14,8/1/16,2
14,9/1/16,0
14,10/1/16,0
14,11/1/16,3
14,12/1/16,2
14,1/1/17,1
14,2/1/17,2
14,3/1/17,0
14,4/1/17,0
14,5/1/17,0
14,6/1/17,1
14,7/1/17,3
14,8/1/17,1
14,9/1/17,2
14,10/1/17,1
14,11/1/17,1
14,12/1/17,1
14,1/1/18,1
14,2/1/18,1
14,3/1/18,0
14,4/1/18,3
14,5/1/18,3
14,6/1/18,1
14,7/1/18,1
14,8/1/18,0
14,9/1/18,2
14,10/1/18,0
14,11/1/18,3
14,12/1/18,0
14,1/1/19,0
14,2/1/19,1
14,3/1/19,2
14,4/1/19,2
14,5/1/19,3
14,6/1/19,5
14,7/1/19,2
14,8/1/19,3
14,9/1/19,0
14,10/1/19,2
14,11/1/19,2
14,12/1/19,0
14,1/1/20,5
14,2/1/20,1
14,3/1/20,2
14,4/1/20,1
14,5/1/20,4
14,6/1/20,2
14,7/1/20,0
14,8/1/20,4
14,9/1/20,1
14,10/1/20,2
14,11/1/20,1
14,12/1/20,0
14,1/1/21,2
14,2/1/21,7
14,3/1/21,4
14,4/1/21,4
14,5/1/21,3
14,6/1/21,0
14,7/1/21,4
14,8/1/21,5
14,9/1/21,2
14,10/1/21,4
14,11/1/21,1
14,12/1/21,5
15,1/1/15,29
15,2/1/15,26
15,3/1/15,35
15,4/1/15,25
15,5/1/15,34
15,6/1/15,30
15,7/1/15,33
15,8/1/15,36
15,9/1/15,29
15,10/1/15,34
15,11/1/15,39
15,12/1/15,30
15,1/1/16,23
15,2/1/16,27
15,3/1/16,28
15,4/1/16,21
15,5/1/16,30
15,6/1/16,24
15,7/1/16,30
15,8/1/16,33
15,9/1/16,33
15,10/1/16,37
15,11/1/16,33
15,12/1/16,26
15,1/1/17,30
15,2/1/17,28
15,3/1/17,44
15,4/1/17,38
15,5/1/17,30
15,6/1/17,27
15,7/1/17,34
15,8/1/17,35
15,9/1/17,34
15,10/1/17,36
15,11/1/17,40
15,12/1/17,38
15,1/1/18,31
15,2/1/18,24
15,3/1/18,34
15,4/1/18,40
15,5/1/18,36
15,6/1/18,36
15,7/1/18,27
15,8/1/18,26
15,9/1/18,43
15,10/1/18,34
15,11/1/18,26
15,12/1/18,26
15,1/1/19,42
15,2/1/19,31
15,3/1/19,37
15,4/1/19,50
15,5/1/19,41
15,6/1/19,38
15,7/1/19,24
15,8/1/19,28
15,9/1/19,35
15,10/1/19,49
15,11/1/19,40
15,12/1/19,30
15,1/1/20,44
15,2/1/20,44
15,3/1/20,43
15,4/1/20,44
15,5/1/20,31
15,6/1/20,28
15,7/1/20,35
15,8/1/20,32
15,9/1/20,33
15,10/1/20,18
15,11/1/20,35
15,12/1/20,37
15,1/1/21,42
15,2/1/21,25
15,3/1/21,34
15,4/1/21,37
15,5/1/21,35
15,6/1/21,36
15,7/1/21,47
15,8/1/21,42
15,9/1/21,38
15,10/1/21,36
