uf_numero,mean_change_missed_cases,sd_change_missed_cases,IDHM_Education,IDHM_Income,MD_percapita_pre,MD_contracts_change,MDvisits_percapita_pre
11,0.274500355,0.092211238,0.707,0.705,1.745980391,0.130580282,0.668085456
12,-0.352418284,0.164028699,0.728,0.668,1.271163219,0.115853834,0.702419653
13,0.481148013,0.135298157,0.735,0.658,1.215397621,0.132148572,0.737114236
14,0.276305355,0.225011015,0.767,0.696,1.569100685,0.12862195,0.699346296
15,0.254336059,0.082928669,0.677,0.651,1.195008872,0.051809777,0.644654363
16,-0.184697146,0.093704919,0.728,0.665,1.107335046,0.08393461,0.658434368
17,0.049779717,0.0704551,0.747,0.693,1.766987683,0.127308531,0.732571795
21,0.143139564,0.064206592,0.704,0.614,1.079006554,0.091764701,0.673425508
22,0.138590833,0.079140303,0.692,0.657,1.498470266,0.103941799,0.718105746
23,0.140231541,0.063857842,0.74,0.677,1.757540836,0.108484101,0.700628765
24,-0.011287036,0.08081764,0.689,0.693,2.053194132,0.131500201,0.75358426
25,0.084510763,0.060077964,0.66,0.672,2.126177196,0.118314055,0.707480861
26,0.260283993,0.085463007,0.718,0.68,2.31267683,0.075334663,0.722064744
27,0.174978251,0.081993211,0.643,0.636,1.967325242,0.113550418,0.715710511
28,0.153873678,0.091555504,0.639,0.682,2.211797471,0.083552228,0.747528491
29,0.301152318,0.055365883,0.672,0.673,2.000187498,0.079099468,0.740573919
31,0.112521256,0.029640136,0.77,0.734,3.43565519,0.085664996,0.783317374
32,0.107067034,0.0776803,0.741,0.747,3.517536984,0.068837767,0.806829141
33,0.809499544,0.113016986,0.78,0.783,3.350266877,0.010992607,0.799401297
35,0.113870763,0.033577293,0.849,0.791,3.978299943,0.066836365,0.817668896
41,0.118092867,0.039189388,0.779,0.764,2.974057887,0.116546241,0.773899921
42,0.15480261,0.052600972,0.794,0.776,3.497556383,0.113483516,0.770305466
43,0.427374688,0.080463537,0.735,0.783,3.735190857,0.066925146,0.784207237
50,0.235075004,0.097741503,0.731,0.752,2.272201683,0.069072301,0.78135179
51,0.095989191,0.081855263,0.771,0.738,1.903952449,0.108268944,0.737791897
52,0.051900521,0.039413698,0.77,0.729,2.261950119,0.126570541,0.731523002
53,0.040064253,0.047584246,0.842,0.841,3.40666236,0.14706708,0.708948888
